method,dataset,dtype,filt,ncells_fact,repl,thr,TPR,FDR,AUROC,fracNA,fdrcontrol
DESeq2,GSE45719sim123,full-length,,24,3,thr0.05,0.582674335010784,0.107870115575124,0.852616855111488,0.242240781939531,high FDP
DESeq2betapFALSE,GSE45719sim123,full-length,,24,3,thr0.05,0.599928109273904,0.130276185513288,0.865299190982031,0.221634632918779,high FDP
DESeq2census,GSE45719sim123,full-length,,24,3,thr0.05,0.227174694464414,0.0424242424242424,0.632551331166058,0.729858856996973,in range
DESeq2LRT,GSE45719sim123,full-length,,24,3,thr0.05,0.576923076923077,0.0733256351039261,0.872042225654242,0.183303548634159,in range
DESeq2nofilt,GSE45719sim123,full-length,,24,3,thr0.05,0.607476635514019,0.0805223068552775,0.916081189744975,0,in range
DEsingle,GSE45719sim123,full-length,,24,3,thr0.05,0.528396836808052,0.0613026819923372,0.904711033976094,0,in range
edgeRLRT,GSE45719sim123,full-length,,24,3,thr0.05,0.705966930265996,0.109297052154195,0.947466618609179,0,high FDP
edgeRLRTcensus,GSE45719sim123,full-length,,24,3,thr0.05,0.325664989216391,0.0473186119873817,0.847920431553285,0,in range
edgeRLRTdeconv,GSE45719sim123,full-length,,24,3,thr0.05,0.705248023005032,0.108181818181818,0.947678538241551,0,high FDP
edgeRLRTrobust,GSE45719sim123,full-length,,24,3,thr0.05,0.684759166067577,0.225609756097561,0.913603079620475,0,high FDP
edgeRQLF,GSE45719sim123,full-length,,24,3,thr0.05,0.836808051761323,0.481514476614699,0.940839523307614,0,high FDP
edgeRQLFDetRate,GSE45719sim123,full-length,,24,3,thr0.05,0.820273184759166,0.466448445171849,0.937357016255615,0,high FDP
limmatrend,GSE45719sim123,full-length,,24,3,thr0.05,0.469086987778577,0.019534184823441,0.912881042806248,0,low FDP
logregLRT,GSE45719sim123,full-length,,24,3,thr0.05,0.574406901509705,0.0459701492537313,0.918412057671203,0,in range
MASTcpm,GSE45719sim123,full-length,,24,3,thr0.05,0.526240115025162,0.0560928433268859,0.915310466127773,0,in range
MASTcpmDetRate,GSE45719sim123,full-length,,24,3,thr0.05,0.53235082674335,0.0778331257783313,0.911527930482307,0,in range
MASTtpm,GSE45719sim123,full-length,,24,3,thr0.05,0.527318475916607,0.0679796696315121,0.914390829758226,0,in range
MASTtpmDetRate,GSE45719sim123,full-length,,24,3,thr0.05,0.532710280373832,0.0817843866171004,0.910981301845719,0,in range
metagenomeSeq,GSE45719sim123,full-length,,24,3,thr0.05,0.199137311286844,0.0513698630136986,0.600667595718444,0.187461249498523,in range
monocle,GSE45719sim123,full-length,,24,3,thr0.05,0.282530553558591,0.261278195488722,0.545600523628973,0,high FDP
monoclecensus,GSE45719sim123,full-length,,24,3,thr0.05,0.312724658519051,0.122098890010091,0.69909128715739,0,in range
monoclecount,GSE45719sim123,full-length,,24,3,thr0.05,0.750179726815241,0.447298728813559,0.930836858299693,0,high FDP
NODES,GSE45719sim123,full-length,,24,3,thr0.05,0.445722501797268,0.157036029911625,0.875322369518566,0.0494912287100186,high FDP
ROTScpm,GSE45719sim123,full-length,,24,3,thr0.05,0.217109992810927,0.0488188976377953,0.734481982483431,0,low FDP
ROTStpm,GSE45719sim123,full-length,,24,3,thr0.05,0.184040258806614,0.0588235294117647,0.74400435954794,0,in range
ROTSvoom,GSE45719sim123,full-length,,24,3,thr0.05,0.483824586628325,0.0323508267433501,0.895453596574527,0,low FDP
SAMseq,GSE45719sim123,full-length,,24,3,thr0.05,0.444644140905823,0.0477290223248653,0.850224643564309,0.0551442430431453,in range
scDD,GSE45719sim123,full-length,,24,3,thr0.05,0.261322789360173,0.0149051490514905,0.601235693528116,0.239432510303074,low FDP
SCDE,GSE45719sim123,full-length,,24,3,thr0.05,0.5215672178289,0.033311125916056,0.914110286098945,0,low FDP
SeuratBimod,GSE45719sim123,full-length,,24,3,thr0.05,0.288281811646298,0.224371373307544,0.638550881735948,0.951019366132973,high FDP
SeuratBimodIsExpr2,GSE45719sim123,full-length,,24,3,thr0.05,0.111430625449317,0.0282131661442006,0.554398609725508,0.985630402275794,in range
SeuratBimodnofilt,GSE45719sim123,full-length,,24,3,thr0.05,0.718907260963336,0.630040695523492,0.867425281076924,0,high FDP
SeuratTobit,GSE45719sim123,full-length,,24,3,thr0.05,0.248382458662832,0.0429362880886427,0.567882972040878,0.381414347715088,in range
ttest,GSE45719sim123,full-length,,24,3,thr0.05,0.421279654924515,0.0142977291841884,0.912982764229787,0,low FDP
voomlimma,GSE45719sim123,full-length,,24,3,thr0.05,0.57117181883537,0.069672131147541,0.902077153803055,0,in range
Wilcoxon,GSE45719sim123,full-length,,24,3,thr0.05,0.492451473759885,0.0256045519203414,0.894685076046102,0,low FDP
zinbwaveDESeq2,GSE45719sim123,full-length,,24,3,thr0.05,0.548526240115025,0.146054840514829,0.779709264939575,0.30938400379299,high FDP
zinbwaveedgeR,GSE45719sim123,full-length,,24,3,thr0.05,0.48058950395399,0.0557909604519774,0.885365062169269,0,low FDP
BPSC,GSE45719sim123,full-length,,24,4,thr0.05,0.507360861759426,0.234146341463415,0.664559388954781,0.0497976741642667,high FDP
D3E,GSE45719sim123,full-length,,24,4,thr0.05,0.436624775583483,0.0272,0.841233292506269,0.000838467427363202,low FDP
DESeq2,GSE45719sim123,full-length,,24,4,thr0.05,0.587432675044883,0.121374865735768,0.854267916644024,0.222740694834312,high FDP
DESeq2betapFALSE,GSE45719sim123,full-length,,24,4,thr0.05,0.605385996409336,0.1454637607704,0.866922378509861,0.240713061864314,high FDP
DESeq2census,GSE45719sim123,full-length,,24,4,thr0.05,0.227648114901257,0.0523168908819133,0.632655828433673,0.748642047318727,in range
DESeq2LRT,GSE45719sim123,full-length,,24,4,thr0.05,0.577019748653501,0.0951576576576577,0.873393434151463,0.240713061864314,in range
DESeq2nofilt,GSE45719sim123,full-length,,24,4,thr0.05,0.610771992818671,0.0971337579617834,0.919962030393459,0,in range
DEsingle,GSE45719sim123,full-length,,24,4,thr0.05,0.530700179533214,0.0639645345155161,0.911052066380231,0,in range
